都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
212032,,岐阜県,高山市,飛騨民俗村,ヒダミンゾクムラ,,,高山市上岡本町1丁目590番地,,,,,,,,,,野外博物館,,,,,,,,,,,
212032,,岐阜県,高山市,飛騨高山観光案内所,ヒダタカヤマカンコウアンナイショ,,,高山市花里町5丁目51番地,,,,,,,,,,観光案内所,,,,,,,,,,,
212032,,岐阜県,高山市,乗鞍高原飛騨高山キャンプ場,ノリクラコウゲンヒダタカヤマキャンプジョウ,,,高山市岩井町910番地1,,,,,,,,,,キャンプ場,,,,,,,,,,,
212032,,岐阜県,高山市,乗鞍高原飛騨高山スキー場,ノリクラコウゲンヒダタカヤマスキージョウ,,,高山市岩井町910番地1,,,,,,,,,,スキー場,,,,,,,,,,,
212032,,岐阜県,高山市,岩舟河川公園,イワフネカセンコウエン,,,高山市丹生川町柏原359番地1,,,,,,,,,,キャンプ場、コテージ,,,,,,,,,,,
212032,,岐阜県,高山市,乗鞍バスターミナル,ノリクラバスターミナル,,,高山市丹生川町岩井谷1223番地,,,,,,,,,,バス待合所、レストラン、売店、トイレ,,,,,,,,,,,
212032,,岐阜県,高山市,朴の木平駐車場,ホオノキダイラチュウシャジョウ,,,高山市丹生川町久手465番地1,,,,,,,,,,バス待合所、トイレ,,,,,,,,,,,
212032,,岐阜県,高山市,ジョイフル朴の木,ジョイフルホオノキ,,,高山市丹生川町久手447番地,,,,,,,,,,宿泊施設、日帰り入浴施設、レストラン,,,,,,,,,,,
212032,,岐阜県,高山市,ひだ清見ラベンダー公園,ヒダキヨミラベンダーコウエン,,,高山市清見町三日町2431番地,,,,,,,,,,花園,,,,,,,,,,,
212032,,岐阜県,高山市,パスカル清見,パスカルキヨミ,,,高山市清見町大原801番地2,,,,,,,,,,キャンプ場、芝生広場、トイレ,,,,,,,,,,,
212032,,岐阜県,高山市,森林公園大倉滝,シンリンコウエンオオクラダキ,,,高山市清見町坂下981番地1,,,,,,,,,,レストラン、コテージ、トイレ,,,,,,,,,,,
212032,,岐阜県,高山市,そばの里荘川,ソバノサトショウカワ,,,高山市荘川町中畑61番地,,,,,,,,,,レストラン、貸館、遊歩道,,,,,,,,,,,
212032,,岐阜県,高山市,荘川の里,ショウカワノサト,,,高山市荘川町新渕53番地,,,,,,,,,,野外博物館,,,,,,,,,,,
212032,,岐阜県,高山市,桜香の湯,オウカノユ,,,高山市荘川町猿丸87番地,,,,,,,,,,日帰り入浴施設、レストラン,,,,,,,,,,,
212032,,岐阜県,高山市,みぼろ湖オートキャンプサイト,ミボロコオートキャンプサイト,,,高山市荘川町中野262番地1,,,,,,,,,,キャンプ場,,,,,,,,,,,
212032,,岐阜県,高山市,モンデウス飛騨位山スノーパーク,モンデウスヒダクライヤマスノーパーク,,,高山市一之宮町7846番地1,,,,,,,,,,スキー場,,,,,,,,,,,
212032,,岐阜県,高山市,飛騨舟山スノーリゾートアルコピア,ヒダフナヤマスノーリゾートアルコピア,,,高山市久々野町無数河4141番地,,,,,,,,,,スキー場,,,,,,,,,,,
212032,,岐阜県,高山市,胡桃島キャンプ場,クルミジマキャンプジョウ,,,高山市朝日町胡桃島1251番地,,,,,,,,,,キャンプ場、コテージ,,,,,,,,,,,
212032,,岐阜県,高山市,野麦峠お助け小屋,ノムギトウゲオタスケゴヤ,,,高山市高根町野麦592番地,,,,,,,,,,レストラン、トイレ,,,,,,,,,,,
212032,,岐阜県,高山市,野麦オートビレッジ,ノムギオートビレッジ,,,高山市高根町野麦660番地1,,,,,,,,,,キャンプ場,,,,,,,,,,,
212032,,岐阜県,高山市,塩沢温泉七峰館,シオザワオンセンシチホウカン,,,高山市高根町上ケ洞290番地,,,,,,,,,,宿泊施設、日帰り入浴施設、レストラン,,,,,,,,,,,
212032,,岐阜県,高山市,しぶきの湯遊湯館,シブキノユユウユカン,,,高山市国府町宇津江964番地,,,,,,,,,,日帰り入浴施設、レストラン,,,,,,,,,,,
212032,,岐阜県,高山市,四十八滝公園,シジュウハチタキコウエン,,,高山市国府町宇津江3235番地86,,,,,,,,,,キャンプ場、コテージ、レストラン、遊歩道、花園,,,,,,,,,,,
212032,,岐阜県,高山市,新穂高センター,シンホタカセンター,,,高山市奥飛騨温泉郷神坂710番地9,,,,,,,,,,観光案内所、トイレ,,,,,,,,,,,
212032,,岐阜県,高山市,新穂高駐車場,シンホタカチュウシャジョウ,,,高山市奥飛騨温泉郷神坂710番地10,,,,,,,,,,有料駐車場,,,,,,,,,,,
212032,,岐阜県,高山市,あかんだな駐車場,アカンダナチュウシャジョウ,,,高山市奥飛騨温泉郷平湯791番地38,,,,,,,,,,有料駐車場、バス待合所,,,,,,,,,,,
